chunk_id,subject,predicate,object
these-documents-outline-the-ma-p6-1-a8c3d2db,esfa_documents,defines,funding_arrangements_2021_2022
these-documents-outline-the-ma-p6-1-a8c3d2db,funding_arrangements_2021_2022,is_funded_by,esfa
these-documents-outline-the-ma-p6-1-a8c3d2db,funding_arrangements_2021_2022,for_programme,funding_16_19
these-documents-outline-the-ma-p6-1-a8c3d2db,funding_arrangements_2021_2022,for_programme,funding_19_24_ehc_plan
these-documents-outline-the-ma-p6-1-a8c3d2db,esfa_guidance_2021_2022,supersedes,previous_funding_guidance
these-documents-outline-the-ma-p6-1-a8c3d2db,institutions,has_legal_duty,gdpr_compliance
these-documents-outline-the-ma-p6-1-a8c3d2db,esfa,provides_service,data_collection_statutory_functions
these-documents-outline-the-ma-p6-1-a8c3d2db,data_collection_statutory_functions,performed_on_behalf_of,secretary_of_state
these-documents-outline-the-ma-p6-1-a8c3d2db,institutions,requires_documentation,individualised_learner_record
these-documents-outline-the-ma-p6-1-a8c3d2db,institutions,requires_documentation,school_census
where-we-do-ask-for-informatio-p7-2-ffa77cc9,esfa,requires_documentation,personal_sensitive_information
where-we-do-ask-for-informatio-p7-2-ffa77cc9,personal_sensitive_information,is_transferred_via,secure_method
where-we-do-ask-for-informatio-p7-2-ffa77cc9,secure_method,is_compliant_with,gdpr_compliance
where-we-do-ask-for-informatio-p7-2-ffa77cc9,esfa,has_legal_duty,not_receive_information_otherwise
where-we-do-ask-for-informatio-p7-2-ffa77cc9,maintained_schools,provides_service,local_authority
where-we-do-ask-for-informatio-p7-2-ffa77cc9,esfa,provides_assistance,online_enquiry_form
what-s-new-we-have-made-the-fo-p8-3-b3688f8d,guidance_document,has_update,student_eligibility_advice
what-s-new-we-have-made-the-fo-p8-3-b3688f8d,guidance_document,has_update,repeat_year_funding_advice
what-s-new-we-have-made-the-fo-p8-3-b3688f8d,guidance_document,has_update,subcontracting_restrictions_advice
what-s-new-we-have-made-the-fo-p8-3-b3688f8d,student_eligibility_advice,is_described_in,paragraph_30_to_31
what-s-new-we-have-made-the-fo-p8-3-b3688f8d,student_eligibility_advice,is_described_in,paragraph_38_to_40
what-s-new-we-have-made-the-fo-p8-3-b3688f8d,repeat_year_funding_advice,is_described_in,paragraph_89_to_90
what-s-new-we-have-made-the-fo-p8-3-b3688f8d,subcontracting_restrictions_advice,is_described_in,section_6
what-s-new-we-have-made-the-fo-p8-3-b3688f8d,subcontracting_restrictions_advice,has_reference,sub_contracting_funding_rules
what-s-new-we-have-made-the-fo-p8-3-b3688f8d,sub_contracting_funding_rules,provides_guidance_on,funding_16_to_19
what-s-new-we-have-made-the-fo-p8-3-b3688f8d,sub_contracting_funding_rules,is_document_of,esfa_funded_post_16_funding_excluding_apprenticeships
what-s-new-we-have-made-the-fo-p8-3-b3688f8d,student_eligibility_advice,pertains_to,eu_and_eea_students
what-s-new-we-have-made-the-fo-p8-3-b3688f8d,repeat_year_funding_advice,pertains_to,funding_delivery
version-2-november-2021-we-hav-p8-4-7c3f8b2e,version_2,has_update,advice_recording_non_qualification_hours
version-2-november-2021-we-hav-p8-4-7c3f8b2e,non_qualification_hours,excludes,high_needs_students
version-2-november-2021-we-hav-p8-4-7c3f8b2e,non_qualification_hours,excludes,students_with_ehc_plan
version-2-november-2021-we-hav-p8-4-7c3f8b2e,advice_recording_non_qualification_hours,is_described_in,paragraph_107
version-2-november-2021-we-hav-p8-4-7c3f8b2e,advice_recording_non_qualification_hours,is_described_in,paragraph_124
version-2-november-2021-we-hav-p8-4-7c3f8b2e,annex_b,includes,table_b2
version-2-november-2021-we-hav-p8-4-7c3f8b2e,annex_c,has_minor_clarification,question_and_answer_15
version-2-november-2021-we-hav-p8-4-7c3f8b2e,question_and_answer_15,clarifies,no_funding_for_overlap_periods
version-2-november-2021-we-hav-p8-4-7c3f8b2e,overlap_periods,between,study_programmes_and_apprenticeship_funding
version-2-november-2021-we-hav-p8-4-7c3f8b2e,funded_institutions,includes,subcontractors
version-2-november-2021-we-hav-p8-4-7c3f8b2e,version_2_1,has_update,student_eligibility_advice
version-2-november-2021-we-hav-p8-4-7c3f8b2e,student_eligibility_advice,modifies,minor_word_technicalities
version-2-november-2021-we-hav-p8-4-7c3f8b2e,minor_word_technicalities,expected_to,not_change_eligibility_rules
some-institutions-have-simply-p9-6-4a187af5,institutions,uses_planning_assumptions,start_2018_2019_academic_year
some-institutions-have-simply-p9-6-4a187af5,current_funding_year,is_time_period_of,institutions
some-institutions-have-simply-p9-6-4a187af5,institutions,is_expected_to,adapt_planning_delivery
some-institutions-have-simply-p9-6-4a187af5,adapted_planning_delivery,includes,updated_planning_assumptions_for_2021_2022
some-institutions-have-simply-p9-6-4a187af5,updated_planning_assumptions_for_2021_2022,builds_on,knowledge_of_education_delivery
some-institutions-have-simply-p9-6-4a187af5,knowledge_of_education_delivery,corresponds_to_learning_aim,individual_students
some-institutions-have-simply-p9-6-4a187af5,individual_students,participates_in,previous_and_current_funding_year
some-institutions-have-simply-p9-6-4a187af5,funded_institution,considers,funding_audit_advice
some-institutions-have-simply-p9-6-4a187af5,funding_audit_advice,requires,funding_data_review
some-institutions-have-simply-p9-6-4a187af5,funding_data_review,evaluates,funding_years_2018_2019_to_2020_2021
some-institutions-have-simply-p9-6-4a187af5,planning_assumptions_for_2021_2022,modifies,based_on_audit_findings
some-institutions-have-simply-p9-6-4a187af5,audit_findings,has_impact,planning_assumptions_for_future_years
if-planned-funded-activity-bec-p9-7-4aaa8da2,activity,has_reason,social_distancing_requirements
if-planned-funded-activity-bec-p9-7-4aaa8da2,activity,has_replacement_activity,substitute_activities
if-planned-funded-activity-bec-p9-7-4aaa8da2,substitute_activities,is_replacement_activity_of,external_work_experience
if-planned-funded-activity-bec-p9-7-4aaa8da2,substitute_activities,supports_learning,original_study_programme_objectives
if-planned-funded-activity-bec-p9-7-4aaa8da2,educational_entity,provides_assistance,substitute_activities
if-planned-funded-activity-bec-p9-7-4aaa8da2,annex_b,provides_guidance_on,evidencing_planned_hours
if-planned-funded-activity-bec-p9-7-4aaa8da2,educational_entity,is_expected_to_ensure,funding_audit_compliance
if-planned-funded-activity-bec-p9-7-4aaa8da2,funding_element,evaluates,substitute_activities
if-planned-funded-activity-bec-p9-7-4aaa8da2,funding_element,requires,evidence
if-planned-funded-activity-bec-p9-7-4aaa8da2,funding_element,defines,funding_impact
if-planned-funded-activity-bec-p9-7-4aaa8da2,funding_regulations,governed_by,funding_element
if-planned-funded-activity-bec-p9-7-4aaa8da2,activity,has_funding_impact,avoid_funding_audit_issues
if-planned-funded-activity-bec-p9-7-4aaa8da2,activity,occurs_in,funding_year
1-introduction-and-background-p10-8-d395cf80,secretary_of_state_for_education,provides_funding,education_provision
1-introduction-and-background-p10-8-d395cf80,education_provision,is_funded_by,esfa
1-introduction-and-background-p10-8-d395cf80,esfa,has_funding_guidance,funding_programmes_2021_2022
1-introduction-and-background-p10-8-d395cf80,funding_programmes_2021_2022,excludes,apprenticeships_funding_16_19
1-introduction-and-background-p10-8-d395cf80,funding_programmes_2021_2022,uses_methodology,national_funding_methodology
